@relation dataset_quejapp_nominal_utf8_proff

@attribute tipo {Peticion,Reclamo,Felicitacion,Queja,Sugerencia}
@attribute canal {Web,Email,Telefono,Presencial,Escrito,Buzon}
@attribute dia {miercoles,jueves,viernes,martes,lunes}
@attribute mes {enero,marzo,febrero,mayo,abril,junio,julio,agosto,septiembre,diciembre,octubre,noviembre}
@attribute clase {Lento,Rapido,MuyRapido,MuyLento}

@data
Peticion,Web,miercoles,enero,Lento
Peticion,Email,miercoles,enero,Rapido
Reclamo,Email,jueves,enero,MuyRapido
Peticion,Telefono,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Telefono,jueves,enero,MuyRapido
Peticion,Telefono,viernes,enero,MuyRapido
Peticion,Telefono,viernes,enero,MuyRapido
Peticion,Telefono,viernes,enero,MuyRapido
Peticion,Telefono,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Felicitacion,Web,viernes,enero,Lento
Peticion,Telefono,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Telefono,viernes,enero,MuyRapido
Peticion,Presencial,martes,enero,MuyRapido
Peticion,Telefono,martes,enero,MuyRapido
Reclamo,Email,martes,enero,Lento
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Web,miercoles,enero,Rapido
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Telefono,miercoles,enero,MuyRapido
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Presencial,miercoles,enero,MuyRapido
Peticion,Presencial,miercoles,enero,MuyRapido
Reclamo,Email,martes,enero,Rapido
Peticion,Email,jueves,enero,Lento
Peticion,Telefono,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Reclamo,Email,jueves,enero,MuyLento
Peticion,Presencial,jueves,enero,MuyRapido
Reclamo,Email,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Email,jueves,enero,Lento
Queja,Web,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Telefono,jueves,enero,MuyRapido
Peticion,Web,jueves,enero,Rapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Email,jueves,enero,MuyLento
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Peticion,Presencial,jueves,enero,MuyRapido
Reclamo,Email,viernes,enero,MuyLento
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Telefono,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Telefono,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Web,viernes,enero,Lento
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Presencial,viernes,enero,MuyRapido
Peticion,Telefono,viernes,enero,MuyRapido
Peticion,Web,viernes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Reclamo,Web,lunes,enero,MuyLento
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Telefono,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Web,lunes,enero,Lento
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
Peticion,Presencial,lunes,enero,MuyRapido
